main_theme,sub_theme,chain_position,second_level,third_level,research_priority,cross_theme_overlap,industry_logic,key_metrics_to_collect,representative_companies_initial,catalysts_to_track,risks_to_track,notes_for_codex
AI算力硬件,高速光模块,中游核心,光通信/CPO,400G/800G/1.6T/3.2T光模块,P0,否,AI训练与推理集群带动数据中心高速互联升级，是当前AI硬件链最强兑现环节之一。,800G/1.6T收入占比；海外CSP客户；订单可见度；产能利用率；毛利率；单价趋势；2026E/2027E利润增速；PE/PEG；近1/3/6月涨幅；成交额分位。,中际旭创、新易盛、天孚通信、剑桥科技、光迅科技、华工科技、太辰光、博创科技,海外云厂CAPEX；800G/1.6T批量交付；CPO/LPO/NPO进展；英伟达/博通/Marvell产业链催化。,估值拥挤；低速产品价格战；海外客户集中；订单低于预期；技术路线切换。,
AI算力硬件,CPO/NPO/LPO/硅光,中游/新技术,光通信/CPO,共封装光学、近封装光学、线性驱动光模块、硅光集成,P0,否,高速互联从可插拔向更低功耗、更高密度方案演进，可能形成下一轮光通信技术溢价。,技术路线验证状态；客户测试进展；样品/小批量/量产阶段；单位功耗；成本结构；专利/产品；收入占比。,中际旭创、新易盛、天孚通信、光迅科技、源杰科技、仕佳光子、博创科技,1.6T/3.2T节点；CPO交换机进展；头部云厂/芯片厂产品发布。,产业化节奏慢；技术路线不确定；主题先于业绩；估值提前透支。,
AI算力硬件,光芯片/激光器/探测器,上游核心,光通信上游,DFB/EML/VCSEL/硅光芯片/PD/APD,P0,半导体材料/器件交叉,国产化和高端速率升级共同驱动，但高端光芯片验证周期长、客户门槛高。,10G/25G/50G/100G单通道能力；EML/硅光进展；客户认证；毛利率；国产替代率；海外收入；研发投入。,源杰科技、仕佳光子、长光华芯、光迅科技、华工科技、腾景科技,高端光芯片国产替代；硅光量产；海外限制带来的国产供应链机会。,高端产品认证不及预期；低端产品价格战；收入体量小。,
AI算力硬件,光器件/FAU/精密光学,上游/中游配套,光通信上游,FAU、MPO/MTP、陶瓷插芯、透镜、隔离器、耦合组件,P1,否,高速光模块出货放量带动精密光器件需求，部分环节具有小而美弹性。,单模块价值量；客户绑定；产能扩张；良率；毛利率；订单增速；收入占比。,天孚通信、太辰光、腾景科技、光库科技、杰普特、蓝特光学,光模块出货放量；1.6T/硅光引入更高精度要求。,客户集中；替代风险；个股涨幅过大；实际价值量不足。,
AI算力硬件,高速DSP/SerDes/交换芯片配套,上游芯片,光通信/网络芯片,DSP、SerDes、Retimer、交换芯片、PHY,P1,半导体设计交叉,高速互联瓶颈从光模块延伸到DSP/SerDes/交换芯片，国产替代空间大但难度高。,产品速率；客户导入；国产替代阶段；收入占比；研发投入；毛利率；PS/PE。,裕太微、盛科通信、海光信息、寒武纪、复旦微电、国芯科技（需Codex核实具体暴露）,国产高速接口芯片突破；数据中心交换机升级；AI服务器网络需求。,技术壁垒高；收入确认慢；概念映射不准确；估值过高。,
AI算力硬件,AI服务器PCB高多层板,中游核心,AI PCB,高多层板、服务器主板、GPU基板周边板、加速卡PCB,P0,否,AI服务器单机PCB价值量显著高于传统服务器，高速高层高频材料提升壁垒。,AI服务器PCB收入占比；层数/材料等级；海外客户；产能扩张；订单；毛利率；2026E利润增速；PE/PEG；近6月涨幅。,沪电股份、胜宏科技、深南电路、鹏鼎控股、东山精密、景旺电子、世运电路、方正科技,AI服务器放量；高端交换机升级；海外客户认证；M8/M9材料应用。,估值透支；客户认证不及预期；扩产导致供给上来；材料涨价侵蚀利润。,
AI算力硬件,交换机PCB/背板/HDI,中游核心,AI PCB,高速交换机板、背板、HDI、AnyLayer HDI、通信设备板,P0,通信设备交叉,AI数据中心网络带宽升级带动高速交换机和背板PCB需求，技术壁垒高于普通通信板。,交换机/背板收入占比；客户；层数；材料等级；良率；产能；毛利率；订单。,沪电股份、深南电路、胜宏科技、景旺电子、鹏鼎控股、生益电子,800G/1.6T交换机升级；白盒交换机出货；云厂CAPEX。,需求波动；价格压力；高端材料依赖；估值拥挤。,
AI算力硬件,覆铜板CCL/高速材料,上游材料核心,AI PCB材料,M6/M7/M8/M9 CCL、低Dk/低Df树脂、半固化片PP,P0,化工/电子材料交叉,高速PCB性能由材料决定，高端CCL有望受益于价值量提升和国产替代。,高端CCL占比；M8/M9认证；单价/毛利率；客户结构；产能；原材料成本；利润弹性。,生益科技、南亚新材、华正新材、金安国纪、联瑞新材（填料）,高端材料升级；AI服务器PCB扩产；上游涨价传导。,周期属性；涨价不可持续；中游议价压制；高端认证慢。,
AI算力硬件,HVLP铜箔/电子铜箔,上游材料,AI PCB材料,HVLP、VLP、RTF铜箔，高频高速电子铜箔,P1,铜箔/材料交叉,高速信号完整性要求提升带动高端低轮廓铜箔需求。,HVLP产品进展；客户认证；产能；价格；毛利率；电子铜箔收入占比；传统锂电铜箔拖累。,铜冠铜箔、诺德股份、嘉元科技、德福科技、超华科技（需核实暴露）,AI PCB放量；高端铜箔国产替代；材料涨价。,锂电铜箔周期拖累；高端电子铜箔占比低；认证慢。,
AI算力硬件,低Dk/低Df玻纤布/电子布,上游材料,AI PCB材料,低介电玻纤布、电子纱、电子布,P1,玻纤/材料交叉,高速PCB对低介电玻纤布需求增加，可能带动电子布结构升级。,低Dk产品能力；电子布收入占比；价格；客户；产能；毛利率；与普通玻纤周期区分。,宏和科技、中国巨石、中材科技、泰山玻纤（需核实A股映射与收入暴露）,高端CCL扩产；AI服务器PCB材料升级。,普通玻纤周期拖累；高端占比低；数据披露不足。,
AI算力硬件,PCB设备/耗材,上游设备耗材,AI PCB设备耗材,LDI、曝光、电镀、检测、钻孔、钻针、铣刀,P1,设备交叉,PCB扩产周期带动设备和耗材需求，耗材具备持续性，设备更偏CAPEX。,订单增速；下游扩产客户；耗材复购；毛利率；高端设备占比；出口/国产替代。,大族数控、芯碁微装、鼎泰高科、中钨高新、东威科技、凯格精机、新锐股份,高端PCB扩产；设备国产替代；耗材消耗提升。,扩产周期波动；客户资本开支放缓；设备订单一次性。,
AI算力硬件,ABF/BT载板与先进封装互联,封装相关,封装基板/类载板,ABF载板、BT载板、SLP、CoWoP相关PCB/中介层,P0,先进封装交叉,AI芯片先进封装带来封装基板和类载板需求，是PCB和半导体封装交叉高景气环节。,ABF/BT产能；客户认证；良率；订单；先进封装收入；资本开支；毛利率。,深南电路、兴森科技、珠海越亚、鹏鼎控股、东山精密（需核实具体方向）,Chiplet/2.5D/3D封装扩张；国产AI芯片供应链建设。,技术壁垒高；投产慢；良率风险；海外竞争强。,
AI算力硬件,AI服务器/ODM/整机,中游集成,AI服务器,AI服务器、加速卡服务器、整机柜、主板、ODM,P0,服务器/云计算交叉,AI算力建设直接拉动服务器和整机柜需求，但整机环节利润率通常低于核心器件。,AI服务器收入占比；客户结构；订单；毛利率；净利率；存货/应收；海外客户；2026E利润增速。,工业富联、浪潮信息、中科曙光、紫光股份、神州数码、拓维信息（需核实）,云厂资本开支；国产算力招标；英伟达/国产AI芯片服务器出货。,毛利率低；供应链限制；订单波动；客户压价；估值与业绩错配。,
AI算力硬件,数据中心交换机/网络设备,中游核心,AI网络设备,白盒交换机、数据中心交换机、路由器、交换芯片设备,P0,通信设备交叉,AI集群规模扩大后，网络互联成为核心瓶颈，交换机价值量和升级周期提升。,400G/800G交换机占比；客户；订单；毛利率；交换芯片来源；海外/国内收入；PE/PEG。,紫光股份、锐捷网络、菲菱科思、中兴通讯、共进股份、盛科通信,数据中心网络升级；白盒交换机放量；运营商/云厂招标。,竞争加剧；交换芯片受限；招标节奏波动；估值透支。,
AI算力硬件,液冷/温控,中游配套,数据中心基础设施,冷板、CDU、液冷机柜、浸没式液冷、风液混合、温控系统,P0,新能源/电力设备交叉,AI服务器功耗提升推动液冷渗透率提升，是AI基础设施中较明确的单机价值量提升环节。,液冷收入占比；CDU/冷板/机柜能力；客户；订单；毛利率；渗透率；数据中心项目。,英维克、高澜股份、申菱环境、佳力图、同飞股份、飞荣达、依米康,高功耗GPU出货；液冷数据中心招标；PUE政策约束。,竞争加剧；价格战；订单阶段性；概念公司收入占比低。,
AI算力硬件,数据中心电源/UPS/服务器电源,中游配套,电源与电力电子,UPS、服务器电源、电源模块、变压器、电感、PDU,P1,电力设备交叉,算力中心用电密度提升带动电源、UPS和电力电子配套需求。,数据中心收入占比；客户；订单；功率密度；毛利率；海外收入；产品认证。,科士达、中恒电气、麦格米特、欧陆通、可立克、伊戈尔、科华数据,AI数据中心建设；高压直流/模块化电源升级；运营商/云厂招标。,利润率低；传统业务拖累；客户认证周期；CAPEX波动。,
AI算力硬件,铜连接/高速连接器/线缆,中游配套,高速互联,DAC、ACC、AEC、SlimSAS、PCIe/CXL连接器、线缆组件,P0,通信/连接器交叉,短距互联中铜连接具备成本和功耗优势，AI服务器内部和机柜内高速连接需求提升。,高速产品收入占比；速率能力；客户；订单；单机价值量；毛利率；良率；近6月涨幅。,沃尔核材、兆龙互连、鼎通科技、华丰科技、神宇股份、瑞可达、电连技术,AI服务器短距互联升级；PCIe/CXL迭代；云厂降本需求。,光铜路线切换；客户认证不确定；概念映射混乱；估值拥挤。,
AI算力硬件,被动元件/MLCC/电感,上游配套,电子元器件,高容MLCC、电感、电容、磁性元件,P2,电子元件交叉,AI服务器和算力设备提高高端被动元件用量，但板块还受消费电子周期影响。,AI服务器相关收入占比；高端产品占比；价格；库存；毛利率；客户认证。,三环集团、风华高科、火炬电子、洁美科技、顺络电子、铂科新材,AI服务器出货；消费电子复苏；国产替代。,周期性库存；收入暴露不清；价格下行。,
AI算力硬件,IDC/算力租赁/智算中心,下游/运营,算力服务,智算中心、算力租赁、IDC、云算力服务,P2,AI应用/云计算交叉,算力建设需求强，但运营环节资本开支大、折旧重，商业模式和客户质量分化。,可用算力规模；GPU来源；上架率；客户合同；毛利率；折旧；负债率；现金流。,润泽科技、光环新网、奥飞数据、数据港、首都在线、云赛智联（需核实）,国产算力招标；智算中心投产；云厂需求。,重资产；价格下行；GPU供给限制；回款风险。,
半导体国产替代,EDA,上游工具,半导体设计工具,数字/模拟/验证/制造EDA,P1,软件/信创交叉,EDA是半导体设计和制造的基础工具，国产替代长期确定，但商业化节奏慢。,工具覆盖环节；客户数量；授权收入；续费率；研发投入；国产替代率；净利润质量。,华大九天、概伦电子、广立微、芯愿景（需核实上市属性）,国产替代政策；晶圆厂/设计公司导入；先进工艺工具突破。,研发投入高；客户粘性建立慢；海外巨头优势明显；估值高。,
半导体国产替代,半导体IP/芯片设计服务,上游工具,IP与设计服务,处理器IP、接口IP、SoC设计服务、Chiplet IP,P1,AI芯片交叉,国产芯片设计复杂度提升带动IP和设计服务需求，Chiplet可能提升IP复用价值。,IP授权收入；一站式设计服务收入；客户；先进工艺经验；毛利率；研发投入。,芯原股份、晶晨股份、国科微、复旦微电（需核实具体IP暴露）,国产SoC/AI芯片需求；Chiplet生态；新客户导入。,收入项目制波动；研发高投入；客户集中；估值高。,
半导体国产替代,刻蚀设备,上游设备核心,半导体设备,介质刻蚀、硅刻蚀、金属刻蚀,P0,设备核心,刻蚀是国产替代确定性较高的核心设备，受益于晶圆厂扩产和先进制程复杂度提升。,在手订单；晶圆厂客户；设备覆盖工艺；国产替代率；毛利率；合同负债；收入增速。,中微公司、北方华创、屹唐股份（如已上市需核实）,长存/长鑫/中芯/华虹扩产；先进存储资本开支；国产替代。,扩产节奏放缓；验收周期；海外限制；估值高。,
半导体国产替代,薄膜沉积设备,上游设备核心,半导体设备,PVD、CVD、ALD、外延设备,P0,设备核心,薄膜沉积环节设备价值量高，先进逻辑/存储/功率均需要多种沉积设备。,订单；客户导入；产品覆盖；先进工艺验证；毛利率；合同负债；2026E增速。,北方华创、拓荆科技、中微公司、微导纳米、晶盛机电,晶圆厂扩产；先进封装/存储升级；国产替代。,客户验证慢；周期波动；海外技术限制；竞争加剧。,
半导体国产替代,清洗/涂胶显影/去胶设备,上游设备,半导体设备,单片清洗、槽式清洗、涂胶显影、去胶,P0,设备核心,清洗步骤随工艺复杂度提升而增加，国产设备导入进展较明确。,客户覆盖；订单；产品平台；先进制程适配；毛利率；收入增速。,盛美上海、芯源微、至纯科技、北方华创,晶圆厂扩产；先进制程步骤增加；国产替代。,客户集中；验收周期；价格竞争；订单波动。,
半导体国产替代,CMP/抛光设备,上游设备,半导体设备,CMP设备、减薄/抛光设备,P0,设备核心,CMP用于平坦化，是逻辑、存储和先进封装关键设备。,设备订单；客户导入；耗材协同；工艺覆盖；毛利率；国产替代率。,华海清科、鼎龙股份（耗材）、天通股份（需核实）,存储/逻辑扩产；先进封装；国产替代。,验收周期；海外竞争；订单集中。,
半导体国产替代,量测检测设备,上游设备,半导体设备,光学检测、电子束检测、缺陷检测、膜厚量测、测试机,P0,设备核心,国产量测检测短板明显，先进制程和良率控制提升设备需求。,产品类型；客户导入；订单；国产替代率；毛利率；研发投入；先进节点能力。,精测电子、上海睿励（需核实）、中科飞测、长川科技、华峰测控、赛腾股份,晶圆厂良率要求提升；先进封装检测；国产替代。,技术门槛高；客户验证慢；收入体量小；估值高。,
半导体国产替代,离子注入/热处理/光刻相关设备,上游设备,半导体设备,离子注入、炉管、快速热处理、光刻/前道配套,P1,设备核心,部分卡脖子设备国产化率较低，突破后弹性大，但不确定性高。,验证状态；订单；客户；国产替代率；收入规模；研发投入；良率。,万业企业/凯世通、屹唐股份（如已上市需核实）、北方华创、芯源微,国产关键设备突破；晶圆厂扩产；政策支持。,技术突破不确定；收入确认慢；估值先行。,
半导体国产替代,半导体设备零部件,上游零部件,零部件国产化,射频电源、MFC、真空泵、阀门、静电卡盘、石英/陶瓷件、密封件、腔体,P0,设备上游,设备国产化向上游零部件延伸，零部件国产替代空间大且验证周期与设备厂绑定。,产品品类；设备厂客户；国产替代率；收入占比；认证进展；毛利率；订单。,新莱应材、富创精密、江丰电子、英杰电气、正帆科技、华亚智能、神工股份、凯德石英、菲利华、国力股份、汉钟精机,国产设备放量；零部件国产替代；晶圆厂扩产。,客户认证慢；品类碎片化；单一客户依赖；估值高。,
半导体国产替代,硅片/衬底材料,上游材料,半导体材料,大硅片、SOI、SiC衬底、GaN衬底,P0,第三代半导体交叉,硅片和第三代半导体衬底是制造基础材料，国产替代与功率需求共同驱动。,12英寸硅片产能；客户认证；价格；出货量；稼动率；毛利率；SiC/GaN进展。,沪硅产业、TCL中环、立昂微、神工股份、天岳先进、东尼电子、晶盛机电,晶圆厂国产化；功率半导体需求；SiC扩产。,价格周期；产能过剩；认证慢；盈利波动。,
半导体国产替代,光刻胶/配套试剂,上游材料核心,半导体材料,KrF/ArF光刻胶、显影液、剥离液、BARC,P0,化工材料交叉,光刻胶国产替代空间大，但高端产品验证周期长。,KrF/ArF收入；客户验证；量产订单；毛利率；研发投入；产能；产品等级。,彤程新材、南大光电、晶瑞电材、上海新阳、容大感光、华懋科技,高端光刻胶验证突破；晶圆厂国产采购；政策催化。,高端产品迟迟不放量；概念估值；低端竞争。,
半导体国产替代,电子特气/湿电子化学品,上游材料,半导体材料,电子特气、超高纯试剂、清洗液、蚀刻液,P0,化工材料交叉,半导体制造耗材属性强，国产化和晶圆厂扩产带来持续需求。,半导体级收入占比；客户认证；产能；价格；毛利率；纯度等级；订单。,华特气体、金宏气体、雅克科技、江化微、晶瑞电材、格林达、安集科技,晶圆厂扩产；国产替代；先进制程耗材升级。,价格波动；安全环保；客户认证慢；传统化工业务拖累。,
半导体国产替代,CMP材料/抛光垫/抛光液,上游材料核心,半导体材料,抛光液、抛光垫、清洗液,P0,设备耗材交叉,CMP耗材随晶圆产出持续消耗，国产化进展较明确。,客户导入；产品品类；收入增速；毛利率；耗材复购；先进制程适配。,安集科技、鼎龙股份、华海清科、上海新阳,逻辑/存储扩产；先进封装；耗材国产替代。,客户集中；价格压力；新产品验证慢。,
半导体国产替代,靶材/前驱体/掩膜版,上游材料,半导体材料,高纯溅射靶材、ALD/CVD前驱体、掩膜版,P1,材料核心,先进制造和显示/封装带动高纯材料需求，国产替代空间存在但环节差异大。,半导体级收入占比；客户认证；产能；产品等级；毛利率；订单。,江丰电子、有研新材、雅克科技、南大光电、路维光电、清溢光电,先进制程材料升级；国产替代；晶圆厂扩产。,高端产品验证慢；显示业务拖累；价格波动。,
半导体国产替代,晶圆制造/代工,中游制造,晶圆制造,逻辑代工、特色工艺、成熟制程、功率代工,P1,制造核心,国内晶圆制造是国产替代承载平台，扩产拉动上游设备材料，并受下游需求周期影响。,产能；稼动率；ASP；资本开支；毛利率；订单；先进/成熟制程占比。,中芯国际、华虹公司、晶合集成、士兰微、华润微,国产替代；AI/汽车/工业需求；成熟制程复苏。,周期下行；价格压力；资本开支高；外部限制。,
半导体国产替代,存储芯片/模组,中游设计/制造,存储,DRAM、NAND、NOR、SLC NAND、存储模组、企业级SSD,P0,AI算力硬件交叉,AI带动HBM/DDR/SSD需求，消费电子复苏也影响存储周期，A股多为设计/模组/利基存储映射。,存储价格；库存；产品结构；企业级/AI相关收入；毛利率；净利润弹性；PE/PEG。,兆易创新、北京君正、江波龙、佰维存储、德明利、普冉股份、东芯股份、澜起科技,存储涨价周期；AI服务器内存需求；国产DRAM/NAND进展。,价格周期反转；库存减值；模组利润波动；估值高。,
半导体国产替代,AI芯片/GPU/NPU/加速卡,中游设计核心,芯片设计,GPU、GPGPU、NPU、ASIC、AI加速卡,P0,AI算力硬件交叉,国产算力替代和AI训练/推理需求提供长期空间，但生态、软件栈和客户验证是关键。,订单；客户；出货量；软件生态；算力性能；毛利率；收入确认；研发投入；PS/PE。,寒武纪、海光信息、景嘉微、龙芯中科、复旦微电、国芯科技、芯原股份,国产AI算力招标；外部限制；新产品发布；云厂适配。,估值极高；生态不足；供给受限；产品迭代风险。,
半导体国产替代,CPU/SoC/MCU/控制芯片,中游设计,芯片设计,CPU、SoC、MCU、工控/车规控制芯片,P1,AI终端/汽车交叉,国产替代和AI终端/汽车电子带动部分芯片需求，但消费周期影响大。,出货量；库存；价格；客户；车规认证；毛利率；研发投入；产品迭代。,龙芯中科、晶晨股份、全志科技、瑞芯微、中颖电子、国芯科技、乐鑫科技,AI终端新品；国产CPU替代；汽车电子导入。,消费电子周期；竞争激烈；库存；估值提前。,
半导体国产替代,模拟芯片/电源管理,中游设计,芯片设计,模拟、PMIC、信号链、隔离芯片、接口芯片,P0,汽车/工业/服务器交叉,模拟芯片国产替代空间大，服务器、汽车、工业是高价值场景，但行业周期修复节奏需验证。,库存周期；价格；高端产品占比；汽车/工业/服务器收入；毛利率；客户；研发投入。,圣邦股份、思瑞浦、纳芯微、艾为电子、芯朋微、杰华特、帝奥微、希荻微,库存周期见底；汽车/工业国产替代；AI服务器电源管理需求。,价格战；消费类拖累；库存高；利润恢复慢。,
半导体国产替代,功率半导体/第三代半导体,中游设计/制造,功率器件,IGBT、MOSFET、SiC、GaN、功率模块,P0,新能源车/电力电子交叉,功率半导体受新能源车、光伏储能、工业、服务器电源驱动，但部分环节有周期和价格压力。,产能利用率；价格；汽车/工业占比；SiC/GaN进展；毛利率；订单；库存。,时代电气、斯达半导、士兰微、新洁能、扬杰科技、宏微科技、华润微、天岳先进、东微半导,新能源车高压平台；服务器电源；国产替代；SiC渗透率提升。,价格战；产能过剩；新能源周期波动；SiC降价。,
半导体国产替代,先进封装/Chiplet/HBM相关,中游封测核心,封测/先进封装,2.5D/3D、Chiplet、CoWoS映射、TSV、RDL、HBM封装测试,P0,AI算力硬件交叉,AI芯片算力提升受先进封装制约，国产先进封装是AI芯片产业链关键瓶颈之一。,先进封装收入；产能；客户；设备材料配套；订单；毛利率；资本开支；良率。,长电科技、通富微电、华天科技、甬矽电子、晶方科技、深科技、华海诚科、兴森科技,国产AI芯片放量；HBM/Chiplet需求；先进封装扩产。,CAPEX高；良率风险；客户导入慢；短期收入占比低。,
半导体国产替代,传统封测/测试设备,中游封测,封测/测试,封装、测试、探针台、测试机、分选机,P1,设备交叉,封测景气与半导体周期相关，先进封装和国产测试设备提供结构性机会。,稼动率；封测价格；先进封装占比；测试设备订单；毛利率；客户。,长电科技、通富微电、华天科技、长川科技、华峰测控、金海通,消费电子复苏；先进封装；国产测试设备导入。,传统封测周期波动；价格压力；先进封装贡献不足。,
半导体国产替代,射频前端/滤波器,中游设计/器件,射频芯片,PA、LNA、开关、滤波器、模组,P1,通信/AI终端交叉,5G/6G、卫星通信、AI终端带动射频需求，但手机链周期和竞争激烈。,手机/汽车/卫星客户；产品等级；毛利率；库存；滤波器突破；收入增速。,卓胜微、唯捷创芯、慧智微、信维通信、麦捷科技、飞骧科技（需核实上市属性）,AI手机/卫星通信；国产替代；6G预期。,手机需求弱；价格战；高端滤波器突破慢。,
半导体国产替代,CIS/图像传感器,中游设计/器件,传感器芯片,手机CIS、汽车CIS、工业/安防CIS,P1,AI终端/汽车交叉,AI终端和智能汽车提升感知需求，CIS受消费电子复苏和车载升级影响。,产品结构；手机/汽车收入；毛利率；库存；新品；客户。,韦尔股份、思特威、格科微、晶方科技,手机复苏；车载CIS渗透；AI眼镜/机器人视觉。,价格周期；竞争激烈；客户集中。,
半导体国产替代,车规半导体,下游应用/设计,汽车芯片,MCU、功率、模拟、传感器、SoC、存储,P1,智能汽车交叉,智能车单车半导体价值量提升，但需验证车规认证、客户定点和价格压力。,车规收入占比；定点客户；认证；毛利率；量产节点；单车价值量。,纳芯微、圣邦股份、斯达半导、时代电气、兆易创新、北京君正、韦尔股份、华大半导相关上市平台（需核实）,智能驾驶放量；国产替代；新能源车电气化。,车市价格战；认证周期；定点不等于收入；毛利率下行。,
