stock_code,company_name,main_theme,sub_theme,chain_position,market_cap,latest_price,pct_change_1m,pct_change_3m,pct_change_6m,turnover_value_20d_avg,relative_strength_vs_index,revenue_2024,revenue_2025,revenue_2026E,revenue_2027E,net_profit_2024,net_profit_2025,net_profit_2026E,net_profit_2027E,gross_margin_latest,net_margin_latest,pe_ttm,pe_2026E,pe_2027E,ps_ttm,peg_2026E,main_theme_revenue_exposure,order_or_customer_evidence,capacity_progress,product_stage,institution_forecast_change,catalysts,risks,data_source,source_date,source_url,confidence_level
300308,中际旭创,AI算力硬件,高速光模块,中游核心,15198.77亿元,1367.8800,37.71%,123.51%,147.90%,342.75亿元,缺失,238.62,382.40,793亿+（研报预测）,>1000亿,53.72,115.80,289.70亿（29家一致预期）,506亿（29家一致预期）,46.06%,32.40%,101.67,52x（2026E/收盘价）,29x（2027E）,39.75,约1.0x,光通信收发模块占97.95%（含800G/1.6T）；境外收入346.37亿占90.58%；前5大客户占75.98%（含英伟达/谷歌/Meta/MS/亚马逊）,800G全球市占率>40%，1.6T市占率50-70%全球第一；前5大客户占75.98%，第一大客户24.06%；1.6T季度出货量环比提升；已锁定2026全年订单,1.6T季度环比出货提升；3.2T产能准备中；部分原材料供给偏紧张,已量产800G/1.6T；3.2T产能准备中,2026E净利润289.70亿（29家均值）；2027E 506亿；开源预测2028E 750亿；高盛目标价1187元,CSP资本开支2026预计+53%；800G规模化放量；1.6T量产出货；工信部《AI+通信》政策；深圳推动光模块向1.6T/3.2T升级；LightCounting预测1.6T 2027年需求7100万只,涨幅较大（近6月+148%，PE TTM 101x）；两头在外（汇率/关税风险）；客户集中度高；CPO/LPO路线竞争,Tencent direct(行情); BaoStock(财务); 年报/研报(基本面); 同花顺一致预期,2026-06-19,investment_system/data/raw/baostock/daily_kline/2026-06-19/300308.json; investment_system/data/raw/baostock/profit/2026-06-19/300308.json; 年报(巨潮); 同花顺机构预期,高
300502,新易盛,AI算力硬件,高速光模块,中游核心,5779.97亿元,581.4800,2.73%,21.89%,42.80%,268.82亿元,缺失,86.47,248.42,预估300亿+（山西证券预测212亿/19家均值189亿）,预估500亿+（19家均值299亿）,28.38,95.53,189.14亿（19家一致预期）,299.47亿（19家一致预期）,49.16%,33.27%,53.82,42x（2026E/收盘价）,27x（2027E）,23.27,约1.0x,光互联产品占99.72%（含800G/1.6T）；境外收入238.72亿占96.16%；前5大客户占72.34%，第一大22.97%；800G全球市占25-30%,全球少数具备800G以上规模化量产和交付能力的公司之一；全球首批1.6T量产交付；ROE 72.66%；1.6T良率95%+，毛利率50%+,800G硅光+薄膜铌酸锂双路线；1.6T已量产；泰国工厂二期高效运行；LPO/XPO/NPO/CPO全布局,已量产800G/1.6T；全球首批量产1.6T,2026E净利润189.14亿（19家均值）；2027E 299.47亿；山西证券预测2026E 212亿/2027E 405亿；高盛看好环比增长；山西证券目标价对应PE 32.8x(2026E),CSP资本开支2026预计+53%；新易盛1.6T量产；800G市占率提升；工信部/深圳政策加持；供应链物料紧张Q2起逐渐缓解；CSP远期锁定2027年订单,PE 42x(2026E)相对合理但近1月+44%加速涌入；客户集中度极高（前5大72.34%）；汇兑损失风险（2026Q1 5.22亿）；两端在外汇率风险,Tencent direct(行情); BaoStock(财务); 年报(深交所/巨潮); 同花顺一致预期; 山西证券研报,2026-06-19,investment_system/data/raw/baostock/daily_kline/2026-06-19/300502.json; investment_system/data/raw/baostock/profit/2026-06-19/300502.json; 年报(深交所/巨潮); 同花顺一致预期; 山西证券研报,高
300394,天孚通信,AI算力硬件,高速光模块,中游核心,2616.78亿元,336.6000,-0.18%,7.88%,68.89%,193.88亿元,缺失,32.32,51.63,约54亿（研报预测）,约70亿+（研报预测）,13.43,20.18,32.62亿（19家一致预期）,42.58亿（19家一致预期）,56.60%,37.01%,120.49,80x（2026E/收盘价）,62x（2027E）,50.68,约1.3x,光通信元器件100%；境外收入74.35%；前5大客户占89.73%（Fabrinet FN为第一大客户占63.31%）,Fabrinet为全球顶级光器件代工厂；前5大客户89.73%；1.6T光引擎规模量产；CPO配套器件研发完成；泰国工厂二期已投产,1.6T光引擎规模量产；CPO配套器件研发完成；泰国工厂二期已投产；外销74.35%,已量产1.6T光引擎；CPO配套,2026E净利润32.62亿（19家均值）；2027E 42.58亿；中信证券预测2026E 33.85亿；天风证券预测2026E 30.51亿；2026Q1 4.92亿同比+46%,工信部/深圳政策加持；1.6T规模量产；CPO器件国产替代；薄膜铌酸锂/磷化铟材料景气；数据中心网络升级带动需求,PE 80x(2026E)偏高；客户集中度极高（Fabrinet占63.31%）；无源器件竞争激烈（2025年毛利率下滑3.67pct）；Q1毛利率56.6%环比+2.64pct改善,Tencent direct(行情); BaoStock(财务); 年报(巨潮); 同花顺一致预期,2026-06-19,investment_system/data/raw/baostock/daily_kline/2026-06-19/300394.json; investment_system/data/raw/baostock/profit/2026-06-19/300394.json; 年报(巨潮); 同花顺一致预期,高
603083,剑桥科技,AI算力硬件,高速光模块,中游核心,756.58亿元,214.5400,19.73%,86.02%,101.26%,60.08亿元,缺失,36.50,48.23,约65亿（光大预测80亿/国泰海通预测64亿）,约100亿+（光大预测114亿/国泰海通预测110亿）,1.67,2.23,17.72亿（国泰海通）；股权激励考核线3.35亿,33.07亿（国泰海通）,29.33%,7.55%,215.93,43x（2026E/收盘价）,23x（2027E）,15.69,约1.5x,高速光模块为核心；800G硅光已批量发货；1.6T送样中；马来西亚产能通过大客户认证；H股已上市（港交所主板）,高速光模块为核心引擎；800G硅光批量发货；1.6T送样中；马来西亚工厂通过大客户认证；绑定上游光芯片供应商,马来西亚工厂通过北美大客户认证扩产顺利；1.6T量产节奏视客户认证进度；H股已上市,已量产800G硅光；1.6T送样中,2026E净利润17.72亿（国泰海通）；光大预测2026E 20.72亿；股权激励考核线2026E 3.35亿；2026Q1 1.18亿同比+276%,800G规模化放量；1.6T量产进展；CSP资本开支+53%；工信部/深圳政策；马来西亚产能释放,PE 43x(2026E)看似便宜但净利润仅2.23亿体量小；1.6T尚未量产；股权激励行权价113.99元（现价214元高管有强动机）；汇兑风险,Tencent direct(行情); BaoStock(财务); 年报(巨潮); 国泰海通/光大证券研报,2026-06-19,investment_system/data/raw/baostock/daily_kline/2026-06-19/603083.json; investment_system/data/raw/baostock/profit/2026-06-19/603083.json; 年报(巨潮); 国泰海通/光大证券研报,高
002281,光迅科技,AI算力硬件,高速光模块,中游核心,2147.37亿元,266.2000,22.50%,220.41%,326.94%,128.21亿元,缺失,82.30,119.29,约140亿（研报预测）,约250亿+（国泰海通预测160亿+）,6.56,9.32,15.88亿（6家一致预期）；国泰海通预测18.70亿,37.77亿（国泰海通预测），6家均值20.95亿,26.83%,8.38%,207.26,135x（2026E/收盘价）,57x（2027E/国泰海通预测）,18.00,>2.0x,数通光模块70.94%（含800G/1.6T）；国内头部CSP为核心；境外31.84亿（+36%）；前5大客户48.49%,800G批量出货且占比提升；1.6T批量交付能力具备；3.2T硅光NPO国内头部CSP系统验证通过；合同负债10.95亿（预付款大幅增加）,1.6T批量交付能力具备（节奏视客户需求）；3.2T验证通过；定增扩产计划；预付款大幅增长反映供应链提前锁定,已量产800G；1.6T批量交付能力具备；3.2T验证通过,2026E净利润15.88亿（6家均值）；国泰海通上调至18.70亿；2027E 37.77亿（国泰海通）；2026Q1 2.40亿同比+60%,CSP资本开支+53%；1.6T订单放量关键节点；3.2T验证进展；国内算力中心建设；工信部/深圳政策,PE 207x(TTM)/135x(2026E)极度高估；近6月+327%极度拥挤；3.2T尚未形成规模收入；1.6T放量节奏不确定,Tencent direct(行情); BaoStock(财务); 年报(巨潮); 国泰海通研报,2026-06-19,investment_system/data/raw/baostock/daily_kline/2026-06-19/002281.json; investment_system/data/raw/baostock/profit/2026-06-19/002281.json; 年报(巨潮); 国泰海通研报,高
000988,华工科技,AI算力硬件,高速光模块,中游核心,1785.27亿元,177.5500,15.32%,52.95%,144.53%,130.82亿元,缺失,117.09,143.55,约163亿（国海预测），Wind一致预期约164亿,约200亿+（国海预测211亿）,12.03,14.54,国海预测164亿；Wind一致预期约164亿,国海预测211亿,19.81%,15.10%,105.06,53x（2026E/收盘价）,39x（2027E/收盘价）,12.44,约1.2x,光联接业务60.97亿（占总收入42.48%，同比+53.39%）；目标5年AI相关营收占比60%；国内头部CSP为主,800G硅光LPO+1.6T全球第一梯队规模化交付；3.2T NPO/CPO首发；国内头部CSP+设备商；目标5年AI相关收入>60%；H股已上市,泰国海外光模块基地竣工投产；武汉光电子信息产业园竣工；1.6T订单排产至2026Q4；H股发行上市推进中（已上市）,已量产800G硅光LPO+1.6T；3.2T NPO/CPO首发,2025年实际低于Wind一致预期：营收低于预期12.65%，净利润低于预期19.78%；国海证券预测2026E/2027E PE 53x/39x；目标5年AI相关收入占比60%,CSP资本开支+53%；1.6T持续放量；2026中报验证；H股上市；工信部/深圳政策；3.2T迭代,PE 53x(2026E)相对合理但近6月+145%偏高；光联接占42%而非100%（有其他业务）；实际低于机构预期12-20%；目标AI相关收入占比60%尚未实现,Tencent direct(行情); BaoStock(财务); 年报(巨潮); 国海证券研报,2026-06-19,investment_system/data/raw/baostock/daily_kline/2026-06-19/000988.json; investment_system/data/raw/baostock/profit/2026-06-19/000988.json; 年报(巨潮); 国海证券研报,高
300570,太辰光,AI算力硬件,高速光模块,中游核心,610.06亿元,268.6000,80.85%,125.41%,141.59%,53.42亿元,缺失,13.78,15.47,约27亿+（华鑫预测28亿/国金预测30亿）,约48亿+（国金预测49亿/研报预测43亿）,2.70,3.08,6.17亿（华鑫/国金预测）；股权激励考核线含营收目标,10.45亿（国金预测），华鑫预测4.32亿,37.80%,19.78%,213.78,101x（2026E/收盘价）,80x（2027E/收盘价）,39.44,>2.0x,光连接器件为主；MPO等高密度光互联产品数据中心市场份额领先；境外收入占主要比例；通过康宁间接供应英伟达/微软/谷歌/亚马逊；自供谷歌Shuffle Box小批量,MPO全球核心玩家；通过康宁(占收入70%)间接供应英伟达/微软/谷歌/亚马逊；Shuffle Box小批量供谷歌；CPO交换机光纤路由柔性板已完成头部客户验证；越南产能爬坡至80%设计产能,产能稳定；越南基地产能爬坡中；CPO交换机核心器件已头部客户验证；自产MT插芯规模化替代,数据中心MPO高密度互联产品；Shuffle Box小批量供谷歌,2026E净利润6.17亿（华鑫/国金预测）；国金预测2026E 6.17亿；华鑫预测2027E 4.32亿；Q1 0.66亿同比-17%⚠️,数据中心互联需求增长；MPO/光纤连接器景气；光模块放量带动上游需求；康宁扩产10倍（太辰光是其MPO最高份额供应商）,⚠️ Q1净利润-17%（唯一负增长标的）；PE 213x(TTM)/101x(2026E)极度高估；营收增速仅12%（低于板块平均）；规模体量小；PE透支未来3-4年,Tencent direct(行情); BaoStock(财务); 年报(深交所); 研报(华鑫/国金); 互动易,2026-06-19,investment_system/data/raw/baostock/daily_kline/2026-06-19/300570.json; investment_system/data/raw/baostock/profit/2026-06-19/300570.json; 年报(深交所); 研报(华鑫/国金); 互动易,高
300548,博创科技,AI算力硬件,高速光模块,中游核心,822.21亿元,281.9900,21.83%,92.97%,124.42%,48.85亿元,缺失,17.47,25.33,约43亿（东北预测70亿/研报均值43亿），2026E 8.03亿（2家均值），2027E 20亿（东北）,>40亿+（东北预测70亿/研报均值43亿）,2.11,5.80,8.03亿（2家一致预期），东北预测10.94亿,20.41亿（东北预测），10.94亿（东北预测）,49.22%,31.84%,219.13,102x（2026E/收盘价）,40x（2027E/收盘价）,32.46,>2.0x,数据通信+消费工业互联业务10.74亿（+87.75%，含400G/800G数通+高速铜缆）；境外59.44%；长芯盛(控股60.45%)为谷歌MPO核心供应商(占谷歌采购30%+),长芯盛为谷歌MPO连接器核心供应商（占谷歌全球采购30%+）；谷歌AOC/MPO等光互联部件；长芯盛通过谷歌认证；800G AEC通过英伟达GB200认证；博创主体400G/800G数通+高速DAC/AEC小批量,长芯盛成都蓉博工厂2025年6月投产（光模块产能）；印尼三期扩产中；MEMS光开关市场推广；OCS布局,400G/800G数通光模块小批量；高速DAC/AEC批量,2026E净利润8.03亿（2家均值）；东北证券预测2026E 10.94亿；5家机构预测2026E均值7亿；2027E 20.41亿（东北）；Q1 1.30亿同比+45%,800G规模化放量；高速铜缆需求；OCS布局；CSP资本开支+53%；长芯盛谷歌MPO逐季放量（25年十亿级体量）；CPO交换机配套需求,PE 219x(TTM)/102x(2026E)极度高估；Q1增速+45%低于全年目标；净利润体量小(3.35亿)；长芯盛故事强但短期PE透支,Tencent direct(行情); BaoStock(财务); 年报(巨潮); 研报(东北/中信/华泰/国盛/大摩); 互动易,2026-06-19,investment_system/data/raw/baostock/daily_kline/2026-06-19/300548.json; investment_system/data/raw/baostock/profit/2026-06-19/300548.json; 年报(巨潮); 研报(东北/中信/华泰/国盛/大摩); 互动易,中高
300394,天孚通信,AI算力硬件,光器件/FAU/精密光学,上游/中游配套,2616.78亿元,336.6000,-0.18%,7.88%,68.89%,193.88亿元,缺失,32.32,51.63,未取得可索引一致预期，列入数据缺口,未取得可索引一致预期，列入数据缺口,13.43,20.18,未取得可索引一致预期，列入数据缺口,未取得可索引一致预期，列入数据缺口,56.60%,37.01%,120.49,未取得可索引一致预期，列入数据缺口,未取得可索引一致预期，列入数据缺口,50.68,未取得可索引一致预期，列入数据缺口,年报明确公司光器件产品在光互连板块销售占比较高，下游包括电信、光纤连接和数据中心市场，AI算力需求是业绩提升的重要背景。,年报提示主要客户收入占比较高，说明公司已嵌入头部客户链条，但具体客户名称和份额不在年报中展开。,泰国工厂处于投产爬坡阶段，年报提示初期熟练度和产能利用率会影响成本与毛利率。,光互连光器件是成熟收入来源，高速光引擎和CPO相关产品处于技术升级与放量跟踪阶段。,未取得Wind/iFind/同花顺可索引一致预期；不将单一市场传闻写入正文。,AI算力资本开支、数据中心建设、CPO技术升级、高速光引擎募投项目收入提升。,客户集中、产品技术升级、泰国工厂爬坡成本、光器件价格竞争和毛利率下行。,BaoStock行情/财务; CNINFO 2025年年度报告; 本地PDF摘录,2026-04-07,investment_system/data/raw/baostock/daily_kline/2026-06-20/300394.json; investment_system/data/raw/baostock/profit/2026-06-20/300394.json; investment_system/data/raw/evidence/2026-06-20/cninfo/300394_天孚通信_2025_annual.pdf; http://static.cninfo.com.cn/finalpage/2026-04-08/1225082705.PDF; investment_system/data/raw/evidence/2026-06-20/cninfo/p1_optical_annual_snippets.json,中高
300570,太辰光,AI算力硬件,光器件/FAU/精密光学,上游/中游配套,610.06亿元,268.6000,80.85%,125.41%,141.59%,53.42亿元,缺失,13.78,15.47,未取得可索引一致预期，列入数据缺口,未取得可索引一致预期，列入数据缺口,2.70,3.08,未取得可索引一致预期，列入数据缺口,未取得可索引一致预期，列入数据缺口,37.80%,19.78%,213.78,未取得可索引一致预期，列入数据缺口,未取得可索引一致预期，列入数据缺口,39.44,未取得可索引一致预期，列入数据缺口,年报说明公司专注光通信领域，产品涵盖光通信器件及集成功能模块，广泛应用于电信网络、算力与云计算数据中心和政企专网。,年报可证实光器件产品用于算力与云计算数据中心，但未直接披露英伟达等终端客户绑定，客户穿透仍需二级证据。,核心跟踪高密度连接器、MT插芯、PLC/AWG芯片和连接组件的需求放量；越南基地和MPO扩产需要公告或互动平台继续确认。,光无源和光有源器件产品已是主营业务，数据中心应用明确，MPO/MTP高密度互联弹性属于需要订单验证的增量逻辑。,未取得Wind/iFind/同花顺可索引一致预期；不将单一市场传闻写入正文。,算力与云计算数据中心建设、高密度光纤连接器需求、光模块上游传导。,近6月涨幅和PE均高，客户穿透证据不足，若订单兑现慢于股价预期则估值压力大。,BaoStock行情/财务; CNINFO 2025年年度报告; 本地PDF摘录,2026-03-30,investment_system/data/raw/baostock/daily_kline/2026-06-20/300570.json; investment_system/data/raw/baostock/profit/2026-06-20/300570.json; investment_system/data/raw/evidence/2026-06-20/cninfo/300570_太辰光_2025_annual.pdf; http://static.cninfo.com.cn/finalpage/2026-03-31/1225061015.PDF; investment_system/data/raw/evidence/2026-06-20/cninfo/p1_optical_annual_snippets.json,中高
688195,腾景科技,AI算力硬件,光器件/FAU/精密光学,上游/中游配套,274.92亿元,212.5400,-33.78%,-9.21%,27.75%,22.52亿元,缺失,4.44,5.86,未取得可索引一致预期，列入数据缺口,未取得可索引一致预期，列入数据缺口,0.68,0.75,未取得可索引一致预期，列入数据缺口,未取得可索引一致预期，列入数据缺口,37.22%,10.63%,381.75,未取得可索引一致预期，列入数据缺口,未取得可索引一致预期，列入数据缺口,46.91,未取得可索引一致预期，列入数据缺口,年报说明光通信领域受AI算力需求推动，高速光模块无源元组件、OCS光交换机大尺寸纯钒酸钇晶体产品量产规模提升。,年报称公司具备行业头部客户资源优势，但客户名称和订单规模未在摘录中量化。,精密光学与先进光电产品矩阵扩展，OCS光交换机相关晶体产品量产规模提升，研发重点布局AI算力高速光互联。,高速光模块无源元组件和OCS相关晶体已经从概念转向量产规模提升，AI光通信收入弹性高于一般精密光学平台型公司。,未取得Wind/iFind/同花顺可索引一致预期；不将单一市场传闻写入正文。,OCS光交换、硅光/CPO、AI算力高速光互联、北美光测试仪器业务。,PE和PS处于高位，收入体量小，若高速光模块无源元组件持续性不足，估值容易回撤。,BaoStock行情/财务; CNINFO 2025年年度报告; 本地PDF摘录,2026-04-24,investment_system/data/raw/baostock/daily_kline/2026-06-20/688195.json; investment_system/data/raw/baostock/profit/2026-06-20/688195.json; investment_system/data/raw/evidence/2026-06-20/cninfo/688195_腾景科技_2025_annual.pdf; http://static.cninfo.com.cn/finalpage/2026-04-25/1225177429.PDF; investment_system/data/raw/evidence/2026-06-20/cninfo/p1_optical_annual_snippets.json,中高
300620,光库科技,AI算力硬件,光器件/FAU/精密光学,上游/中游配套,976.22亿元,390.8000,56.38%,138.58%,150.82%,61.40亿元,缺失,缺失,14.74,未取得可索引一致预期，列入数据缺口,未取得可索引一致预期，列入数据缺口,缺失,缺失,未取得可索引一致预期，列入数据缺口,未取得可索引一致预期，列入数据缺口,35.16%,8.18%,1675.86,未取得可索引一致预期，列入数据缺口,未取得可索引一致预期，列入数据缺口,66.23,未取得可索引一致预期，列入数据缺口,年报列明DR4/DR8 FAU、MT-FAU、CPO用光纤阵列、MPO/MTP连接器用于数据中心、云计算、移动通信；薄膜铌酸锂产品用于超高速数据中心、AI和超算中心。,年报披露铌酸锂新产品存在送样、小批量生产、批量出货及头部客户小批量订单，泰国基地通过重要客户现场稽核并启动小批量试生产。,铌酸锂高速调制器芯片产业化项目实施中；泰国光库生产基地通过ISO9001、PCN认证并实现一款Pigtail产品规模化量产。,FAU/MPO/CPO光纤阵列和薄膜铌酸锂调制器均已进入从验证、小批量到部分批量出货的阶段，是本方向弹性最高但波动也最大的标的。,未取得Wind/iFind/同花顺可索引一致预期；不将单一市场传闻写入正文。,1.6T以上光模块、CPO、薄膜铌酸锂、超高速数据中心、AI和超算中心建设。,PE TTM极高，年报口径下部分利润字段仍需复核，薄膜铌酸锂和泰国产能爬坡若不达预期会放大估值波动。,BaoStock行情/财务; CNINFO 2025年年度报告; 本地PDF摘录; AKShare财务指标(收入推导),2026-03-23,investment_system/data/raw/baostock/daily_kline/2026-06-20/300620.json; investment_system/data/raw/baostock/profit/2026-06-20/300620.json; investment_system/data/raw/evidence/2026-06-20/cninfo/300620_光库科技_2025_annual.pdf; http://static.cninfo.com.cn/finalpage/2026-03-24/1225026091.PDF; investment_system/data/raw/evidence/2026-06-20/cninfo/p1_optical_annual_snippets.json; investment_system/data/raw/akshare/financial_indicator/2026-06-20/300620.json,中高
688025,杰普特,AI算力硬件,光器件/FAU/精密光学,上游/中游配套,426.77亿元,449.0000,18.16%,111.69%,211.42%,16.66亿元,缺失,14.53,20.74,未取得可索引一致预期，列入数据缺口,未取得可索引一致预期，列入数据缺口,1.24,2.78,未取得可索引一致预期，列入数据缺口,未取得可索引一致预期，列入数据缺口,42.96%,14.62%,125.37,未取得可索引一致预期，列入数据缺口,未取得可索引一致预期，列入数据缺口,20.58,未取得可索引一致预期，列入数据缺口,年报说明光纤器件围绕光连接/光通信，面向数据中心、云计算、人工智能行业需求，开发MPO、FAU及各类光纤组件。,年报披露光纤器件业务销售额同比增长560.42%，并积极布局MPO产能和FAU产线扩产及自动化。,公司布局FAU产线扩产和产线自动化程度提升，MPO/MMC连接器和FAU进入业务加速布局阶段。,主业仍以激光器和激光/光学智能装备为主，光纤器件是高速增长新业务，AI光通信弹性需要看后续收入占比提升。,未取得Wind/iFind/同花顺可索引一致预期；不将单一市场传闻写入正文。,MPO/MMC、FAU、数据中心光连接需求、CPO带来内部光纤通道数量提升。,公司整体业务更偏激光器和装备，光通信收入占比若提升不及预期，主线映射会弱于市场叙事。,BaoStock行情/财务; CNINFO 2025年年度报告; 本地PDF摘录,2026-03-27,investment_system/data/raw/baostock/daily_kline/2026-06-20/688025.json; investment_system/data/raw/baostock/profit/2026-06-20/688025.json; investment_system/data/raw/evidence/2026-06-20/cninfo/688025_杰普特_2025_annual.pdf; http://static.cninfo.com.cn/finalpage/2026-03-28/1225048090.PDF; investment_system/data/raw/evidence/2026-06-20/cninfo/p1_optical_annual_snippets.json,中高
688127,蓝特光学,AI算力硬件,光器件/FAU/精密光学,上游/中游配套,363.20亿元,89.48,-6.15%,49.53%,156.61%,10.92亿元,缺失,10.29,15.36,未取得可索引一致预期，列入数据缺口,未取得可索引一致预期，列入数据缺口,2.21,3.91,未取得可索引一致预期，列入数据缺口,未取得可索引一致预期，列入数据缺口,46.51%,28.76%,76.82,未取得可索引一致预期，列入数据缺口,未取得可索引一致预期，列入数据缺口,23.65,未取得可索引一致预期，列入数据缺口,年报说明准直类透镜、微透镜等产品可应用于光通信，AI驱动算力、数据存储与传输需求提升，为光学光电子元器件提供需求背景。,年报显示公司采用以销定产和直销模式服务客户，但未披露数据中心光通信客户或订单占比。,公司具备精密光学元器件、光学晶圆、镀膜和微透镜加工能力，属于潜在配套方向而非已充分证实的AI光通信放量标的。,精密光学平台能力明确，但AI光通信直接收入弹性弱于天孚、太辰、腾景、光库和杰普特，需要后续订单证据确认。,未取得Wind/iFind/同花顺可索引一致预期；不将单一市场传闻写入正文。,硅光/CPO对准直透镜、微透镜、镀膜和光学晶圆工艺提出更高要求。,消费电子、车载和显示类业务影响较大，AI光通信收入暴露不透明，容易被主题估值牵引。,BaoStock行情/财务; CNINFO 2025年年度报告; 本地PDF摘录,2026-03-16,investment_system/data/raw/baostock/daily_kline/2026-06-20/688127.json; investment_system/data/raw/baostock/profit/2026-06-20/688127.json; investment_system/data/raw/evidence/2026-06-20/cninfo/688127_蓝特光学_2025_annual.pdf; http://static.cninfo.com.cn/finalpage/2026-03-17/1225013060.PDF; investment_system/data/raw/evidence/2026-06-20/cninfo/p1_optical_annual_snippets.json,中
